time,posi_x,posi_y,posi_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,yaw,yaw_rate,backup
8.132946729660034,0.049997307324998,0.050003234662162,1.549999368437593,-0.000324681491417,0.000389840105319,-0.000075834639039,-0.029199465705202,0.035029876881400,-0.006771586888765,-1.726042969250842,2.067102148859083,-0.394393835389826,1.575753961907069,0.099680190328983,1
8.143665313720703,0.049991770378289,0.050009879718461,1.549998080236131,-0.000746469697874,0.000895544547862,-0.000173151423802,-0.050404958727079,0.060402654841768,-0.011579588343052,-2.226240262876736,2.661514812307853,-0.501127195194324,1.576990785713172,0.131035346757535,1
8.149997234344482,0.049985935074914,0.050016878558152,1.549996729647616,-0.001112220481143,0.001333689702891,-0.000256927938894,-0.065401089279052,0.078321263020429,-0.014939600653741,-2.508037843285977,2.995263285298435,-0.559423923006285,1.577878568228793,0.149305460756001,1
8.159998416900635,0.049971105468045,0.050034653608488,1.549993316193828,-0.001898878450494,0.002275227042547,-0.000435762635640,-0.092627160489874,0.110808270113994,-0.020966555111853,-2.932673075233610,3.496453452461413,-0.644466646704389,1.579514446129417,0.177767512066697,1
8.169996738433838,0.049946983859170,0.050063543873680,1.549987800508342,-0.002978375667155,0.003565883195449,-0.000678923786598,-0.123970169610702,0.148143565092776,-0.027800436750688,-3.332815832599514,3.966590723145879,-0.721136559706780,1.581432137384658,0.205746492884402,1
8.179997444152832,0.049910428095150,0.050107292145239,1.549979497636986,-0.004391163918544,0.005253195517480,-0.000994177898775,-0.159201655882989,0.190036599302536,-0.035361762547552,-3.709235353986150,4.406664644125537,-0.789731599512421,1.583627638829388,0.233253762107922,1
8.192983865737915,0.049838576827379,0.050193200739683,1.549963308215872,-0.006784589447191,0.008108032523374,-0.001522294010976,-0.210365646527330,0.250746452985291,-0.046134938082587,-4.163530803266267,4.934451955648240,-0.867169213355357,1.586885149929447,0.268264059914793,1
8.199994564056396,0.049785603932070,0.050256488271429,1.549951452657862,-0.008363505259472,0.009989266107645,-0.001867324403684,-0.240363426807675,0.286274650753365,-0.052344096487717,-4.392946255729925,5.199360809412687,-0.903683345139725,1.588830944647704,0.286827606872759,1
8.210030555725098,0.049688812237754,0.050372045559593,1.549929922432072,-0.011002243653098,0.013130161939556,-0.002438947955411,-0.286022005367666,0.340261198312915,-0.061650328120436,-4.702589451674953,5.554878208845842,-0.949726648496835,1.591841181938710,0.312994926657848,1
8.224259138107300,0.049501001727693,0.050596040710229,1.549888515363575,-0.015561970378935,0.018549888568640,-0.003414211468151,-0.355845812355410,0.422619390355272,-0.075558547636064,-5.104733317029690,6.012426329678171,-1.002889455489083,1.596553964226569,0.349271768944864,1
8.229990720748901,0.049405804885544,0.050709487675569,1.549867674746342,-0.017686117062691,0.021071753348499,-0.003863834141711,-0.385536123122453,0.457567931848379,-0.081357760930356,-5.254826012438871,6.181745987116780,-1.020431129373443,1.598596927765539,0.363611148687492,1
8.240036010742188,0.049207787247488,0.050945308200199,1.549824581909260,-0.021828410406081,0.025984932337052,-0.004733060553637,-0.439581405764040,0.521077450553618,-0.091742434193009,-5.501874454406595,6.458355106857488,-1.046008123647446,1.602374335935445,0.388366252386193,1
8.249995470046997,0.048967684105393,0.051231006033653,1.549772722814815,-0.026482838895555,0.031498832391533,-0.005698934687698,-0.495512150682525,0.586658643076041,-0.102259653361788,-5.727128888102205,6.707863202682224,-1.065075382708200,1.606362300872169,0.412432881452384,1
8.260035276412964,0.048675830605699,0.051577983394203,1.549710167725013,-0.031750293416449,0.037731228797346,-0.006779606967830,-0.554074842677170,0.655170548810944,-0.113024484205344,-5.934961953747216,6.935231421938547,-1.078201494681381,1.610623149944665,0.436217584960510,1
8.269991397857666,0.048331284496228,0.051987250454798,1.549636891581098,-0.037563906445757,0.044601173320616,-0.007958443456161,-0.614111220009492,0.725242317888910,-0.123799508071529,-6.122485752320583,7.137421988244546,-1.085408052747037,1.615081510469015,0.459326930667135,1
8.283075332641602,0.047784896281074,0.052635612431858,1.549521754780262,-0.046129919664881,0.054708589921942,-0.009671329039209,-0.695689350909174,0.820190189362377,-0.138018825580947,-6.341735494764234,7.369107097703680,-1.086471646204734,1.621286530538778,0.488979593289822,1
8.289992809295654,0.047448858334176,0.053034017358481,1.549451504176590,-0.051094027399834,0.060558385426531,-0.010651872171878,-0.739914217549006,0.871534106875725,-0.145523766382546,-6.445510947044864,7.476432671004209,-1.083335349708237,1.624721645283920,0.504323441586950,1
8.300144672393799,0.046890858539863,0.053695068069254,1.549335671668600,-0.058940687966531,0.069794503555590,-0.012185012946099,-0.806066146169063,0.948163670950137,-0.156481113915131,-6.585971564541443,7.610855285631743,-1.077673377591885,1.629954470326008,0.526226076892495,1
8.310087919235229,0.046263855871576,0.054437159567381,1.549206590085251,-0.067287030810447,0.079594124999278,-0.013798585550144,-0.873302277304861,1.022509228137920,-0.168502309383431,-6.931249840359329,7.346498457305788,-1.335319994190189,1.635206430896339,0.530156454891056,1
8.319992542266846,0.045553486337568,0.055276779432676,1.549061440434411,-0.076281204242140,0.090077199710857,-0.015536742490679,-0.943487874500950,1.094045832845741,-0.182877556740953,-7.235610298131594,7.102824481490370,-1.562885332027660,1.640476316566335,0.534041969414457,1
8.330097913742065,0.044733164904165,0.056244164082089,1.548894812038160,-0.086190214592884,0.101492174286228,-0.017468267314179,-1.018013986187471,1.164650659144074,-0.199723954764236,-7.507034455296828,6.873389123969712,-1.766366553167748,1.645893170508060,0.537976553284172,1
