TIME_STAMPE,EPX_TRAJ_FRONTEND,EXP_TRAJ_OPT,GENERATE_EXP_TRAJ,BACK_TRAJ_FRONTEND,BACK_TRAJ_OPT,GENERATE_BACK_TRAJ,TOTAL_REPLAN,VISUALIZATION
9.21651, 0.0039398, 0.00626296, 0.0102835, 0.00225566, 0.00188787, 0.00592089, 0.0164654, 0.000493748
9.28567, 0.00390756, 0.00704089, 0.0110699, 0.0014584, 0.00353318, 0.00779197, 0.0189533, 0.000494016
9.34904, 0.00423441, 0.00338201, 0.00770018, 0.00231187, 0.00207017, 0.00785456, 0.0156253, 0.000490938
9.41971, 0.00377075, 0.00818283, 0.0120222, 0.0013612, 0.00146546, 0.00757643, 0.0196852, 0.00049376
9.48302, 0.00352734, 0.00466935, 0.00827615, 0.00185943, 0.0032945, 0.00792213, 0.0162841, 0.000526545
9.54681, 0.00413201, 0.00509247, 0.00930042, 0.00108326, 0.00100215, 0.00405092, 0.013439, 0.000431382
9.63233, 0.00470714, 0.0183482, 0.0231319, 0.00170845, 0.00427755, 0.00906004, 0.0322656, 0.000456599
9.67852, 0.00357073, 0.00182658, 0.00546767, 0.000960588, 0.00169331, 0.00623622, 0.0117918, 0.000440714
9.74086, 0.0024671, 0.000782094, 0.00329883, 0.000820753, 0.00168601, 0.00391645, 0.00730257, 0.000387236
9.82758, 0.00440272, 0.00577774, 0.0102477, 0.00157911, 0.00541111, 0.0171472, 0.0275149, 0.00525738
9.88472, 0.00357574, 0.00655533, 0.0101897, 0.00094292, 0.00268194, 0.00774025, 0.018015, 0.000420963
9.96522, 0.00483178, 0.00938608, 0.0142944, 0.00240272, 0.00541342, 0.0148183, 0.029338, 0.000622861
10.0181, 0.00271086, 0.00719634, 0.00996649, 0.00124429, 0.00211827, 0.0079126, 0.0180196, 0.000524168
10.0856, 0.00374645, 0.00404345, 0.0078497, 0.00131086, 0.00494233, 0.0109476, 0.0188688, 0.000371297
10.1503, 0.00321531, 0.0037139, 0.006984, 0.00131505, 0.00406339, 0.00990609, 0.0169651, 0.00044838
10.2157, 0.00308574, 0.00388712, 0.00704413, 0.00220946, 0.00320549, 0.00855418, 0.0156866, 0.000477183
10.2901, 0.00469296, 0.00696971, 0.0117393, 0.00233803, 0.00616363, 0.0114691, 0.0233153, 0.000464153
10.3575, 0.00460626, 0.00314071, 0.00783098, 0.00239868, 0.00724233, 0.016249, 0.0241638, 0.000627653
10.4289, 0.00459935, 0.00793482, 0.0126773, 0.00267351, 0.00589268, 0.0160503, 0.0288526, 0.000685409
10.4854, 0.00458841, 0.00203586, 0.00667789, 0.00128533, 0.00656901, 0.0102679, 0.0170314, 0.000423893
10.5678, 0.00328184, 0.0200183, 0.0233849, 0.00202565, 0.00475123, 0.0109463, 0.0344177, 0.000468035
10.6121, 0.00281214, 0.00187479, 0.00476074, 0.00203526, 0.00177495, 0.0070624, 0.0119226, 0.000391015
10.6891, 0.00301819, 0.00668451, 0.0097862, 0.00224649, 0.00520331, 0.0124451, 0.0223221, 0.000528848
10.7508, 0.00522953, 0.00163637, 0.00694649, 0.00168276, 0.00376291, 0.0095865, 0.0166264, 0.000555679
10.8175, 0.00499512, 0.00156525, 0.00661081, 0.00185868, 0.00436779, 0.0100183, 0.0167664, 0.000536598
10.8919, 0.00551398, 0.0089412, 0.0145317, 0.00244465, 0.0045805, 0.00948608, 0.0240968, 0.000504277
10.9553, 0.00539015, 0.00354622, 0.00900636, 0.0059753, 0.00409717, 0.0128086, 0.02189, 0.00407833
11.0245, 0.00543232, 0.00768147, 0.0132007, 0.00158011, 0.00630078, 0.0112023, 0.0244856, 0.000693119
11.1059, 0.00554751, 0.0241427, 0.0297556, 0.00177579, 0.00451331, 0.00923164, 0.039193, 0.000839884
11.1518, 0.00559641, 0.00580049, 0.0114625, 0.0013242, 0.00261108, 0.00538952, 0.018376, 0.00188523
11.2171, 0.00405831, 0.00564658, 0.00975066, 0.00202131, 0.00293207, 0.00722669, 0.017068, 0.000382038
11.2804, 0.00332882, 0.00550245, 0.00888563, 0.000702042, 0.00184015, 0.00467815, 0.0136249, 0.000347267
11.3561, 0.00435344, 0.0107159, 0.0151581, 0.00118228, 0.00442342, 0.00750314, 0.0227446, 0.000519686
11.4236, 0.00289748, 0.0136846, 0.016661, 0.000752432, 0.00374371, 0.00680872, 0.0235418, 0.000350138
11.4978, 0.00437092, 0.0167009, 0.0211586, 0.00115077, 0.00415685, 0.00943373, 0.0306932, 0.000599216
11.5553, 0.00456053, 0.00825611, 0.0128912, 0.000542026, 0.00550172, 0.00894235, 0.0218946, 0.000539078
11.6254, 0.00463129, 0.0134172, 0.0181864, 0.000973918, 0.00358743, 0.00694165, 0.0252942, 0.000559709
11.6929, 0.00494381, 0.0162632, 0.0212929, 0.00104647, 0.00199628, 0.00484884, 0.0262357, 0.000574101
11.7477, 0.00496131, 0.00679993, 0.0118265, 0.000560593, 0.000936599, 0.00241422, 0.0143098, 0.000420651
11.8125, 0.0038133, 0.00373177, 0.00759817, 0.000555912, 0.00291448, 0.0047798, 0.0124517, 0.000457912
11.8864, 0.00435185, 0.00572125, 0.0101595, 0.000526638, 0.00316789, 0.0083119, 0.0185688, 0.000421316
11.9815, 0.00436002, 0.0315134, 0.0359812, 0.000561394, 0.003236, 0.00847308, 0.0445344, 0.00057012
12.0351, 0.00447184, 0.0153423, 0.0202266, 0.00103249, 0.00958285, 0.0146209, 0.0350592, 0.00112656
12.1242, 0.00442454, 0.0318251, 0.0365222, 0.00121199, 0.0122215, 0.0207399, 0.0575167, 0.00121353
12.1733, 0.00426955, 0.0166347, 0.0209983, 0.00102904, 0.00476913, 0.0188241, 0.0399186, 0.000652912
12.2237, 0.00452589, 0.00839229, 0.0130334, 0.000982382, 0.0051502, 0.0105, 0.0236734, 0.00064941
12.2852, 0.00433185, 0.00314781, 0.00756953, 0.00146404, 0.00546561, 0.0108035, 0.0184617, 0.000496258
12.3618, 0.00436241, 0.0105801, 0.015106, 0.00120066, 0.00740833, 0.0131907, 0.0283774, 0.000651701
12.4127, 0.00378032, 0.00227919, 0.00613204, 0.000581961, 0.00318431, 0.00639475, 0.0126232, 0.000507383
12.4785, 0.00347933, 0.00219443, 0.00580763, 0.000830467, 0.00320168, 0.00589889, 0.0117996, 0.000547204
12.5499, 0.00361818, 0.00388785, 0.00760699, 0.000774553, 0.00548528, 0.00875846, 0.016519, 0.000810088
12.6146, 0.00363736, 0.00447435, 0.00821358, 0.000780181, 0.0043635, 0.00622212, 0.0145347, 0.00058425
12.6828, 0.00347058, 0.00462001, 0.00816733, 0.000592881, 0.00255286, 0.00789098, 0.0161465, 0.000510066
12.7553, 0.0022084, 0.00666092, 0.00893015, 0.000295753, 0.0105168, 0.0127964, 0.0218824, 0.000442346
12.8228, 0.00353408, 0.00785351, 0.011515, 0.000780728, 0.00681282, 0.0110942, 0.0227303, 0.000698388
12.8847, 0.00446746, 0.00297633, 0.00752152, 0.000574197, 0.00326491, 0.0102699, 0.0179021, 0.000528932
12.9603, 0.00458248, 0.0144861, 0.0191656, 0.00154099, 0.0033427, 0.00764868, 0.0268985, 0.000538627
13.0293, 0.004317, 0.0116258, 0.0160392, 0.000341241, 0.0111865, 0.0131547, 0.029265, 0.000569736
13.0974, 0.0042198, 0.0103851, 0.0146656, 0.000267835, 0.0125579, 0.0159516, 0.0306787, 0.000432732
13.1534, 0.00418588, 0.00555934, 0.00982236, 0.000251577, 0.00733841, 0.00971639, 0.0196174, 0.000439366
13.2234, 0.00219022, 0.00743072, 0.0097142, 0.000312001, 0.0100592, 0.0135077, 0.0233036, 0.000396322
13.2893, 0.0034721, 0.00323437, 0.00692108, 0.000263239, 0.00923882, 0.0154681, 0.0224864, 0.000569961
13.3507, 0.003183, 0.00307378, 0.00633024, 0.000337928, 0.00500947, 0.0109096, 0.0173454, 0.000401523
13.4301, 0.00445138, 0.0139338, 0.0184772, 0.0006194, 0.00501251, 0.0114552, 0.0300141, 0.000521272
13.4882, 0.00451189, 0.00686468, 0.0114574, 0.000504661, 0.00490962, 0.00994922, 0.0214781, 0.000537532
13.5558, 0.00476257, 0.00957877, 0.0144226, 0.000449016, 0.00284984, 0.00787286, 0.0224, 0.000518193
13.622, 0.00365783, 0.0112663, 0.0149919, 0.000325047, 0.00471636, 0.0068084, 0.0218904, 0.000444107
13.6902, 0.00399518, 0.00500361, 0.00908745, 0.000655024, 0.00873536, 0.0142932, 0.0234599, 0.000527666
13.7497, 0.00320974, 0.00542143, 0.00868761, 0.000369278, 0.00457846, 0.00760978, 0.0163858, 0.000355457
13.8157, 0.0036669, 0.00480777, 0.00853774, 0.00042188, 0.00425148, 0.00704618, 0.0156392, 0.000388047
13.8929, 0.00400542, 0.00451645, 0.00860218, 0.000955601, 0.0131061, 0.0175398, 0.0262327, 0.000502552
13.961, 0.00390355, 0.00514803, 0.0091285, 0.00100673, 0.00746711, 0.0179861, 0.0275998, 0.000450254
14.0175, 0.00360293, 0.00628994, 0.00995151, 0.00152223, 0.0017483, 0.00731433, 0.0173574, 0.000444587
14.0814, 0.00190913, 0.00591503, 0.00790706, 0.00144101, 0.00289437, 0.00656349, 0.0145333, 0.00040584
14.1492, 0.00268097, 0.00597595, 0.00874354, 0.00257035, 0.002082, 0.00704552, 0.0158624, 0.00034867
14.2178, 0.00229044, 0.00274152, 0.0050862, 0.00207415, 0.003531, 0.0125869, 0.017752, 0.000485046
14.2972, 0.00250582, 0.00156036, 0.00410722, 0.00105096, 0.0157719, 0.0263648, 0.0305373, 0.000309216
14.3579, 0.00271429, 0.00304336, 0.00582569, 0.0020866, 0.00620265, 0.0186839, 0.0245795, 0.000404309
14.4435, 0.00300889, 0.00456414, 0.00763078, 0.00204685, 0.0132772, 0.0356584, 0.0434755, 0.000409565
14.513, 0.00313097, 0.00258645, 0.0057773, 0.00204947, 0.0285192, 0.0403447, 0.0462067, 0.000401288
14.5793, 0.00285471, 0.00238476, 0.00530487, 0.00191866, 0.0242541, 0.0402562, 0.0459399, 0.00076272
14.6532, 0.00243454, 0.00335355, 0.00583726, 0.00213069, 0.0227282, 0.0442198, 0.053208, 0.00343942
14.6902, 0.0028185, 0.00598973, 0.00888716, 0.00156751, 0.00667493, 0.014498, 0.0234643, 0.000395703
14.7418, 0.00129762, 0.00102598, 0.00240104, 0.00113616, 0.00115915, 0.00577255, 0.0082521, 0.000344738
14.8277, 0.00150711, 0.0106387, 0.0122264, 0.00110425, 0.011757, 0.0153708, 0.0276922, 0.000387587
14.8875, 0.00278584, 0.00810303, 0.0109824, 0.00182725, 0.00521295, 0.00971997, 0.0207814, 0.000465455
14.9462, 0.00291001, 0.00230667, 0.00530193, 0.0016974, 0.00297366, 0.00741768, 0.0127897, 0.000370368
15.0175, 0.00380973, 0.00704432, 0.0109433, 0.00142147, 0.0028934, 0.00637014, 0.0174038, 0.000392235
15.0941, 0.00353504, 0.00577313, 0.00941148, 0.00189056, 0.00597874, 0.0113845, 0.0210753, 0.000435899
15.1631, 0.00246838, 0.00361112, 0.00617169, 0.00119401, 0.00973567, 0.0234376, 0.0297111, 0.000582556
15.2382, 0.0034607, 0.0254981, 0.029066, 0.00111776, 0.00425461, 0.00881275, 0.0380535, 0.000504584
15.284, 0.00279884, 0.00792651, 0.010804, 0.000565093, 0.00381361, 0.00626574, 0.0172513, 0.000415864
15.3608, 0.00387096, 0.0108477, 0.0148147, 0.00511764, 0.00391653, 0.0125639, 0.0274535, 0.000418067
15.415, 0.00304564, 0.00666977, 0.00977951, 0.000484651, 0.00224928, 0.00514615, 0.0150048, 0.000394865
15.4898, 0.00333626, 0.00661012, 0.0100415, 0.000799363, 0.00697515, 0.0129126, 0.0230399, 0.000421357
15.5653, 0.00319323, 0.0150173, 0.0183141, 0.000662294, 0.00747661, 0.0134959, 0.031989, 0.00052396
15.6195, 0.00454693, 0.00848664, 0.0130978, 0.000521469, 0.00315861, 0.00623894, 0.0194542, 0.000421205
15.6963, 0.00379738, 0.00483317, 0.00870396, 0.000493225, 0.00939395, 0.0208093, 0.0295894, 0.000363205
15.7851, 0.00434263, 0.00569263, 0.0101125, 0.000510837, 0.0247831, 0.0405616, 0.0507426, 0.000376351
15.8194, 0.00332576, 0.00830205, 0.0116919, 0.000488938, 0.00337066, 0.00754933, 0.0193216, 0.000355252
15.8882, 0.00357523, 0.00343711, 0.00710925, 0.000499559, 0.0092699, 0.0142273, 0.0214444, 0.000470483
15.9595, 0.00353522, 0.0060593, 0.00967206, 0.000361197, 0.00969797, 0.0164076, 0.0261561, 0.000346608
16.0181, 0.0027162, 0.00367036, 0.00645192, 0.000330125, 0.00743333, 0.0115162, 0.0180604, 0.0003341
16.0803, 0.00314454, 0.00128006, 0.00448376, 0.000200876, 0.00211868, 0.00902082, 0.0135794, 0.000305336
16.1461, 0.00238105, 0.00153509, 0.00399851, 0.000477963, 0.00394474, 0.00858843, 0.0126984, 0.000387018
16.2187, 0.00232802, 0.0084165, 0.0108232, 0.000409222, 0.00399893, 0.00778654, 0.0186882, 0.000410814
16.2848, 0.00242768, 0.00233417, 0.00482805, 0.000506395, 0.00516703, 0.0131571, 0.0180767, 0.000363353
16.3507, 0.00152238, 0.000784808, 0.00238744, 0.000726318, 0.00700977, 0.0148856, 0.0173596, 0.000407665
16.4349, 0.00178911, 0.000989204, 0.00284174, 0.000881732, 0.0253794, 0.0298217, 0.0327696, 0.000453781
16.4899, 0.00136805, 0.000596397, 0.00202563, 0.00060094, 0.008693, 0.020741, 0.0228542, 0.000440768
16.5511, 0.00165931, 0.00192846, 0.0036482, 0.000628582, 0.0061246, 0.0140042, 0.0177334, 0.000590063
16.6111, 0.00126171, 0.000771784, 0.00208802, 0.000527476, 0.0044805, 0.00893285, 0.0110905, 0.000333062
16.6821, 0.0014389, 0.000612077, 0.0020963, 0.000560546, 0.00702227, 0.01319, 0.0153493, 0.000314257
16.7379, 0.000729042, 0.000445506, 0.0012102, 0.000342714, 0.00119393, 0.00315711, 0.00442895, 0.000219906
16.8073, 0.00117423, 0.000752888, 0.00201069, 0.000580991, 0.00215664, 0.00515463, 0.00724624, 0.000357711
16.8777, 0.000535782, 0.0003238, 0.000893031, 0.000441318, 0.00622014, 0.00981247, 0.0108816, 0.000342363
16.946, 0.00117228, 0.000411729, 0.00163787, 0.000619536, 0.00478982, 0.0109221, 0.0126516, 0.000343771
17.0086, 0.00113439, 0.000494623, 0.00167974, 0.000662301, 0.00269347, 0.00659205, 0.00836403, 0.00033703
17.0831, 0.00102928, 0.000338878, 0.00140987, 0.00061049, 0.0123888, 0.0149316, 0.0164171, 0.000291761
17.144, 0.00098567, 0.000408488, 0.0014345, 0.000576901, 0.00511189, 0.00896957, 0.0105364, 0.0003498
17.2122, 0.000834511, 0.000379116, 0.00125467, 0.000566297, 0.00725847, 0.010839, 0.0121746, 0.00028145
17.2741, 0.000947174, 0.000383322, 0.00137708, 0.000609056, 0.00351101, 0.00596381, 0.00740489, 0.000292509
17.3347, 0.000648103, 0.000565202, 0.00126987, 0, 0, 0, 0.00131987, 0.00012576
17.4012, 0.000581135, 0.000541556, 0.00116645, 0, 0, 0, 0.00119823, 0.000112071
17.4683, 0.000619607, 0.000211762, 0.000874315, 0, 0, 0.000607744, 0.00156612, 0.000262179
17.5341, 0, 0, 4.937e-06, 0, 0, 0.000618836, 0.00068418, 0.000123792
17.6005, 0, 0, 6.194e-06, 0, 0, 0.000457886, 0.000535308, 0.000128079
17.6679, 0, 0, 5.779e-06, 0, 0, 0.000502137, 0.000573982, 0.000128684
17.7339, 0, 0, 6.277e-06, 0, 0, 0.000487786, 0.000556199, 0.000105408
17.8004, 0, 0, 4.259e-06, 0, 0, 0.000272207, 0.00032605, 8.6312e-05
17.8671, 0, 0, 5.337e-06, 0, 0, 0.000261791, 0.000329699, 9.4975e-05
17.9337, 0, 0, 5.701e-06, 0, 0, 0.000245851, 0.000313207, 9.4146e-05
18.0006, 0, 0, 7.062e-06, 0, 0, 0.000379358, 0.000516855, 0.000174326
18.0671, 0, 0, 6.542e-06, 0, 0, 0.000344278, 0.00041677, 0.000116289
18.1339, 0, 0, 6.838e-06, 0, 0, 0.00037321, 0.000531018, 0.000212117
18.2003, 0, 0, 5.234e-06, 0, 0, 0.000221415, 0.000272239, 7.9986e-05
18.2671, 0, 0, 6.679e-06, 0, 0, 0.000317154, 0.000385687, 0.000111973
18.3338, 0, 0, 6.657e-06, 0, 0, 0.000302149, 0.000389753, 0.000123473
18.4004, 0, 0, 5.526e-06, 0, 0, 0.000310257, 0.000360949, 8.9796e-05
18.4672, 0, 0, 6.332e-06, 0, 0, 0.000305182, 0.000380993, 0.000117046
18.5338, 0, 0, 5.388e-06, 0, 0, 0.000348026, 0.000422239, 0.00012465
18.6001, 0, 0, 4.71e-06, 0, 0, 4.45e-07, 5.0739e-05, 3.3484e-05
22.4929, 0.0043707, 0.0127188, 0.0171571, 0.000360926, 0.00456498, 0.00896019, 0.0261853, 0.000821815
22.5566, 0.002193, 0.0058089, 0.00809085, 0.000325991, 0.00797338, 0.0150228, 0.0231963, 0.000349454
22.618, 0.00272997, 0.00491267, 0.00773011, 0.000416341, 0.00651721, 0.0100828, 0.0178943, 0.000364958
22.6896, 0.00352402, 0.00334645, 0.00692937, 0.000282676, 0.00947253, 0.0158447, 0.0228797, 0.000369163
22.7669, 0.00426892, 0.00689189, 0.0112509, 0.000444125, 0.0138473, 0.0220535, 0.0333903, 0.000417462
22.8258, 0.00378107, 0.00680719, 0.0106641, 0.000303471, 0.0100566, 0.0143903, 0.0251332, 0.000402877
22.8983, 0.00355695, 0.0126907, 0.016339, 0.00044254, 0.0104977, 0.0151672, 0.0315844, 0.000419996
22.9545, 0.00428494, 0.0101115, 0.0144577, 0.000270708, 0.00320718, 0.00656748, 0.0210873, 0.000360061
23.0202, 0.00482872, 0.00364954, 0.00856923, 0.000558708, 0.0061991, 0.0114836, 0.0201517, 0.000477625
23.0906, 0.00285527, 0.0057027, 0.00864918, 0.000371313, 0.00405058, 0.0149732, 0.0237332, 0.000385983
23.1695, 0.00474947, 0.00973933, 0.0145877, 0.000450184, 0.0109749, 0.0178012, 0.0324849, 0.000490005
23.217, 0.00370467, 0.00762725, 0.011415, 0.000328705, 0.00193615, 0.00546209, 0.0169747, 0.000417202
23.284, 0.00276248, 0.00211678, 0.00493765, 0.000324852, 0.00418886, 0.0122028, 0.0172164, 0.000324314
23.3605, 0.0039953, 0.00876466, 0.0128264, 0.000334597, 0.00584798, 0.0141718, 0.0270724, 0.00048398
23.4198, 0.00485342, 0.0057726, 0.0107018, 0.000481698, 0.00455816, 0.00890425, 0.0197281, 0.000488694
23.5083, 0.00461492, 0.0151113, 0.0198448, 0.000743032, 0.00636893, 0.016923, 0.0369132, 0.0055548
23.5613, 0.0048501, 0.00404783, 0.00906855, 0.000785127, 0.00490716, 0.0157832, 0.0249853, 0.000677104
23.6141, 0.00352143, 0.00359231, 0.00716716, 0.00045553, 0.00272343, 0.00681299, 0.0140459, 0.000321479
23.6838, 0.00231162, 0.00582766, 0.00822761, 0.00100569, 0.00478591, 0.00875777, 0.0170852, 0.00043131
23.7526, 0.00539588, 0.00628336, 0.0117339, 0.000536096, 0.00429677, 0.00739976, 0.0192009, 0.000311618
23.8247, 0.0038538, 0.00544831, 0.00937137, 0.000879037, 0.00869725, 0.0151114, 0.0245744, 0.000393419
23.8961, 0.00232168, 0.00389467, 0.00973946, 0.00258342, 0.00677509, 0.0195281, 0.0293738, 0.00394035
23.9553, 0.00387141, 0.00449879, 0.00844767, 0.00129035, 0.00603599, 0.0134258, 0.0219605, 0.000454857
24.0446, 0.00324144, 0.0412739, 0.0445377, 0, 0, 0, 0.0445986, 0.000245889
24.0855, 0.00352176, 0.00254953, 0.00612063, 0.0011443, 0.00643719, 0.0126088, 0.0188034, 0.000367527
24.1615, 0.00362391, 0.00718246, 0.0108866, 0.00180675, 0.00956745, 0.0172257, 0.0281839, 0.000475979
24.2179, 0.00327211, 0.00604123, 0.00938201, 0.00156346, 0.00247511, 0.00734702, 0.0168771, 0.000489685
24.2947, 0.00338677, 0.0107615, 0.0144849, 0.00239943, 0.00453689, 0.0133353, 0.0279594, 0.000815667
24.3539, 0.0038477, 0.00405461, 0.0079829, 0.0023011, 0.0046477, 0.0124331, 0.0205681, 0.00073591
24.4176, 0.00433718, 0.00450203, 0.00890631, 0.00120684, 0.00306751, 0.00749825, 0.0165322, 0.00061401
24.493, 0.00275477, 0.00779478, 0.0106477, 0.00223742, 0.00484971, 0.0154614, 0.0262056, 0.00306514
24.5535, 0.00341442, 0.00733385, 0.010811, 0.00162091, 0.00406492, 0.00927377, 0.0201656, 0.000483023
24.6216, 0.00373316, 0.00520836, 0.00902342, 0.00112502, 0.00311542, 0.0075292, 0.0215566, 0.00536332
24.6899, 0.00359304, 0.00842562, 0.0121033, 0.00218942, 0.00473664, 0.0110155, 0.0232028, 0.000488253
24.7759, 0.0037103, 0.030907, 0.0346943, 0.0019892, 0.00294231, 0.00770525, 0.0425301, 0.00104769
24.8277, 0.00504733, 0.00888961, 0.0140211, 0.00169308, 0.00631967, 0.0115494, 0.0256497, 0.000509797
24.8863, 0.00490312, 0.00677398, 0.0117418, 0.00129254, 0.00297914, 0.00775207, 0.0195937, 0.000466975
24.9491, 0.00227092, 0.00897311, 0.0113251, 0.00141249, 0.00182672, 0.00426209, 0.0156638, 0.000326359
25.0218, 0.00450137, 0.00929488, 0.0138905, 0.00237696, 0.00324958, 0.00764625, 0.0216206, 0.00049738
25.0835, 0.0042384, 0.0034298, 0.0077814, 0.00204248, 0.0031831, 0.00829174, 0.0161736, 0.00051068
25.1535, 0.00433655, 0.00555453, 0.0099746, 0.00134355, 0.00478599, 0.0099517, 0.020002, 0.00041707
25.2211, 0.00330637, 0.00538372, 0.00877082, 0.00151251, 0.00248318, 0.0120174, 0.0208743, 0.0012284
25.2784, 0.00301674, 0.0059141, 0.00900659, 0.000785712, 0.00104342, 0.00251669, 0.0115819, 0.000372518
25.3422, 0.00381393, 0.0025152, 0.00637795, 0.000721764, 0.000910912, 0.00235787, 0.00878543, 0.000336704
25.4211, 0.00395234, 0.0053145, 0.00933111, 0.000686159, 0.00324345, 0.0113982, 0.020801, 0.00487622
25.4846, 0.00374484, 0.00299975, 0.00680733, 0.000655591, 0.00519513, 0.0109342, 0.0178162, 0.000489324
25.5508, 0.00414489, 0.0023149, 0.00650798, 0.00117311, 0.00467717, 0.0108231, 0.0174045, 0.000442618
25.62, 0.00450891, 0.00243343, 0.00699866, 0.0012856, 0.00553184, 0.0128055, 0.0198581, 0.000435998
25.6911, 0.00548443, 0.00409077, 0.00966322, 0.00143755, 0.00463953, 0.0123254, 0.0221045, 0.000575642
25.7488, 0.00584396, 0.00297121, 0.00889661, 0.00147988, 0.00311315, 0.00634832, 0.0153334, 0.00051293
25.8167, 0.00473704, 0.00394746, 0.00874549, 0.00151883, 0.00237827, 0.00780306, 0.0166213, 0.00046678
25.8979, 0.00601442, 0.00368114, 0.00978964, 0.00590918, 0.0113487, 0.0212468, 0.0311227, 0.000534629
25.9616, 0.00445611, 0.0109439, 0.0154942, 0.00226954, 0.00661012, 0.0121537, 0.0280565, 0.00087015
26.0293, 0.00496092, 0.00503605, 0.0100839, 0.00416404, 0.00614279, 0.0190332, 0.0292124, 0.0007055
26.0797, 0.00229422, 0.00204969, 0.00438819, 0.00159512, 0.00258798, 0.00843106, 0.0128907, 0.000368542
26.1521, 0.00221948, 0.00508621, 0.00736493, 0.00180328, 0.00445462, 0.0113066, 0.0187306, 0.000368023
26.2264, 0.00446472, 0.00283583, 0.00737261, 0.00170853, 0.0107337, 0.0178701, 0.0253017, 0.000477554
26.2822, 0.00432056, 0.00436847, 0.00875758, 0.00156997, 0.00214439, 0.00655205, 0.0153785, 0.000480508
26.3493, 0.00375051, 0.00221601, 0.00601663, 0.00144241, 0.00548328, 0.00979293, 0.0158681, 0.00036787
26.423, 0.00450885, 0.00673445, 0.0113295, 0.00216351, 0.00486512, 0.0114753, 0.0228836, 0.000513083
26.4877, 0.00461044, 0.00851532, 0.0132055, 0.0015258, 0.00330535, 0.00764783, 0.0209328, 0.000452332
26.5563, 0.00347777, 0.00812881, 0.0116955, 0.00252212, 0.00401662, 0.0110566, 0.0228403, 0.000543826
26.6199, 0.0051879, 0.00286616, 0.00812418, 0.00235238, 0.00558828, 0.0115961, 0.0198127, 0.000448998
26.6799, 0.00366609, 0.00300993, 0.00673278, 0.00117853, 0.00217279, 0.00633418, 0.0131506, 0.000444783
26.7533, 0.00541307, 0.00453171, 0.010103, 0.00189826, 0.00384653, 0.00957765, 0.0197502, 0.000523375
26.8157, 0.00475685, 0.00300588, 0.00781428, 0.0011755, 0.00223928, 0.00761657, 0.015646, 0.000500789
26.8827, 0.00546315, 0.00336524, 0.00889801, 0.00108212, 0.00269777, 0.00697063, 0.0159339, 0.000407732
26.949, 0.00421283, 0.00660074, 0.0108976, 0.00190788, 0.00146858, 0.00457388, 0.0155498, 0.000414523
27.018, 0.00591626, 0.00723353, 0.0132151, 0.00122099, 0.00165557, 0.0046318, 0.0179463, 0.000426924
27.0891, 0.00667919, 0.00492388, 0.0116814, 0.00138186, 0.00263551, 0.0104198, 0.0221787, 0.000438923
27.1521, 0.00572293, 0.00626118, 0.012065, 0.00197567, 0.00247189, 0.0064199, 0.0185666, 0.000420566
27.2179, 0.00303723, 0.00615347, 0.00925116, 0.00133218, 0.00327899, 0.00843986, 0.017834, 0.000502164
27.2814, 0.00259024, 0.00436334, 0.00701201, 0.00157863, 0.00293009, 0.00760716, 0.0146955, 0.000363782
27.3522, 0.00274436, 0.00532784, 0.00815297, 0.00186015, 0.00282394, 0.0105939, 0.0188375, 0.000508309
